timestamp;id;linear_velocity_x;linear_velocity_y;linear_acceleration_x;linear_acceleration_y;yaw_rate;force_x;force_y;torque_n;fault_label
42.435;14;-0.01639511917686414;-0.2095446907718204;0.12569014728069305;0.04195066168904305;12.429945087171447;0.7605;1.6245;134.60000000000002;0
42.935;14;-0.04250673926044378;-0.2273858520661489;0.11310498416423798;0.06059455871582031;12.701769355032278;0.8405000000000001;2.592;24.4;0
43.435;14;-0.05387869574157629;-0.12509037275393042;0.1176079288125038;-0.005303949117660522;10.956399894312137;0.28800000000000003;1.6245;28.000000000000004;0
43.935;14;-0.057525712230810676;-0.09847860312856932;0.08873433619737625;0.025408238172531128;10.731898363912805;0.7605;1.6245;27.0;0
44.435;14;-0.07785194288565261;-0.14850176844230936;0.07508010417222978;0.022780325263738632;10.576087346591745;0.7605;2.592;0.6;0
44.935;14;-0.09631978765155197;-0.1603857788399445;0.0473221018910408;0.050424948334693916;9.908489650202386;0.28800000000000003;2.592;-136.0;0
45.435;14;-0.09391395994791686;-0.09687423464188814;0.05480575934052466;0.04898025840520859;9.433355087225292;0.28800000000000003;1.7405;-175.0;0
45.935;14;-0.09435187515612332;-0.07732844136160269;0.01990103907883168;0.046932630240917206;7.543428001396674;0.7605;1.6245;-174.6;0
46.435;14;-0.077440862244922;-0.10676700446816806;0.06161762401461601;0.04547746106982231;5.010936399150238;0.8405000000000001;2.592;-172.6;0
46.935;14;-0.0632153598920176;-0.09272622208387092;0.06315498799085617;0.012092233635485172;1.9309343735376607;0.28800000000000003;2.592;-173.0;0
47.435;14;-0.06243912585478724;-0.06250807095401331;0.05363939702510834;0.03991881012916565;0.738051545725078;0.28800000000000003;1.6245;-172.6;0
47.935;14;-0.07405985829471429;-0.03863070261656742;0.05494162440299988;-0.02314306981861592;-1.6376179789957919;0.8405000000000001;1.6245;-172.6;0
48.435;14;-0.061245029216598974;-0.07422239212787955;0.030165314674377438;0.0012079814914613962;-4.077351996405248;0.8405000000000001;2.592;-174.6;0
48.935;14;-0.04371529423318567;-0.0869165064178193;0.023853782564401627;-0.03827386349439621;-4.343222985751545;0.33799999999999997;2.592;27.6;0
